iter	Passed	Remaining
0	1	119
1	2	107
2	3	102
3	3	95
4	5	98
5	6	99
6	7	97
7	8	95
8	9	95
9	10	95
10	11	93
11	12	93
12	13	92
13	15	92
14	16	91
15	17	89
16	18	88
17	19	87
18	20	85
19	21	84
20	22	82
21	22	81
22	23	80
23	24	78
24	25	76
25	26	75
26	27	73
27	28	72
28	28	70
29	29	69
30	30	67
31	31	66
32	31	64
33	32	63
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	54
41	38	53
42	39	52
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	33
62	54	32
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
